,iterations,encoding_dim,quantization_level,sim_metric,accuracy_score,precision_score,recall_score,f1_score,train_time,retrain_time,singlepass_test_time,retrain_test_time,train_encode_time,test_encode_time
0,1,2,1,cos,0.37244897959183676,0.37244897959183676,1.0,0.5427509293680297,0,0,0.14886045455932617,0.0008592605590820312,0.10113644599914551,0.005478620529174805
1,10,2,1,cos,0.37244897959183676,0.37244897959183676,1.0,0.5427509293680297,0,0,0.0008509159088134766,0.00113677978515625,0.04100537300109863,0.0042378902435302734
2,100,2,1,cos,0.37244897959183676,0.37244897959183676,1.0,0.5427509293680297,0,0,0.0008692741394042969,0.001016378402709961,0.042975425720214844,0.004258632659912109
3,1,2,1,,0.37244897959183676,0.37244897959183676,1.0,0.5427509293680297,0,0,0.0006055831909179688,0.0005888938903808594,0.04190969467163086,0.003995180130004883
4,10,2,1,,0.37244897959183676,0.37244897959183676,1.0,0.5427509293680297,0,0,0.0005881786346435547,0.0006279945373535156,0.03982353210449219,0.003994464874267578
5,100,2,1,,0.37244897959183676,0.37244897959183676,1.0,0.5427509293680297,0,0,0.0005855560302734375,0.0009293556213378906,0.04034876823425293,0.003979682922363281
6,1,2,2,cos,0.37244897959183676,0.37244897959183676,1.0,0.5427509293680297,0,0,0.0008351802825927734,0.0009696483612060547,0.041274309158325195,0.004153251647949219
7,10,2,2,cos,0.6020408163265306,0.2727272727272727,0.0410958904109589,0.07142857142857142,0,0,0.0009262561798095703,0.0008802413940429688,0.04423403739929199,0.0042722225189208984
8,100,2,2,cos,0.3979591836734694,0.3783783783783784,0.958904109589041,0.5426356589147286,0,0,0.0008745193481445312,0.0012278556823730469,0.04019784927368164,0.004174709320068359
9,1,2,2,,0.6020408163265306,0.2727272727272727,0.0410958904109589,0.07142857142857142,0,0,0.0006203651428222656,0.0006549358367919922,0.044554710388183594,0.0045244693756103516
10,10,2,2,,0.37244897959183676,0.37244897959183676,1.0,0.5427509293680297,0,0,0.0008339881896972656,0.0007028579711914062,0.046750783920288086,0.004406929016113281
11,100,2,2,,0.37244897959183676,0.37244897959183676,1.0,0.5427509293680297,0,0,0.0005757808685302734,0.0009407997131347656,0.039160728454589844,0.0038852691650390625
12,1,2,4,cos,0.6326530612244898,0.5048543689320388,0.7123287671232876,0.5909090909090908,0,0,0.0008745193481445312,0.0008797645568847656,0.042298316955566406,0.004322528839111328
13,10,2,4,cos,0.5561224489795918,0.23076923076923078,0.0821917808219178,0.12121212121212122,0,0,0.0008640289306640625,0.0009984970092773438,0.04172658920288086,0.004170656204223633
14,100,2,4,cos,0.3979591836734694,0.3783783783783784,0.958904109589041,0.5426356589147286,0,0,0.0008673667907714844,0.001127004623413086,0.04206371307373047,0.004149436950683594
