,iterations,encoding_dim,quantization_level,sim_metric,accuracy_score,precision_score,recall_score,f1_score,train_time,retrain_time,singlepass_test_time,retrain_test_time,train_encode_time,test_encode_time
0,1,2,1,cos,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,1.5436832904815674,0.0012278556823730469,0.17243266105651855,0.018792390823364258
1,10,2,1,cos,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,0.0017197132110595703,0.0013852119445800781,0.1479036808013916,0.01739025115966797
2,100,2,1,cos,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,0.0013496875762939453,0.0014879703521728516,0.13893771171569824,0.018305301666259766
3,1,2,1,,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,0.001020669937133789,0.0010516643524169922,0.1458277702331543,0.019726991653442383
4,10,2,1,,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,0.0010499954223632812,0.0011794567108154297,0.14303159713745117,0.01917243003845215
5,100,2,1,,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,0.0010411739349365234,0.001169443130493164,0.14404511451721191,0.018959999084472656
6,1,2,2,cos,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,0.001302480697631836,0.0012500286102294922,0.15152645111083984,0.018442153930664062
7,10,2,2,cos,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,0.0012655258178710938,0.0014011859893798828,0.14815831184387207,0.017802715301513672
8,100,2,2,cos,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,0.0013310909271240234,0.0015070438385009766,0.14165711402893066,0.019213199615478516
9,1,2,2,,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,0.001108407974243164,0.0010247230529785156,0.15516304969787598,0.02061629295349121
10,10,2,2,,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,0.0010676383972167969,0.0009553432464599609,0.1497189998626709,0.01939845085144043
11,100,2,2,,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,0.0009748935699462891,0.0011942386627197266,0.14133715629577637,0.01961684226989746
12,1,2,4,cos,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,0.0012938976287841797,0.001234292984008789,0.1400454044342041,0.018889665603637695
13,10,2,4,cos,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,0.0012974739074707031,0.0013484954833984375,0.13636302947998047,0.019354581832885742
14,100,2,4,cos,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,0.0013377666473388672,0.001312255859375,0.1445293426513672,0.019806623458862305
15,1,2,4,,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,0.0009748935699462891,0.0009093284606933594,0.14001917839050293,0.01852560043334961
16,10,2,4,,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,0.0009367465972900391,0.0009281635284423828,0.13579607009887695,0.016339540481567383
17,100,2,4,,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,0.0009276866912841797,0.0011758804321289062,0.14006495475769043,0.01791977882385254
18,1,2,8,cos,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,0.0013685226440429688,0.001383066177368164,0.15061402320861816,0.020264148712158203
19,10,2,8,cos,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,0.0013637542724609375,0.001363515853881836,0.1470322608947754,0.019227027893066406
20,100,2,8,cos,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,0.0013251304626464844,0.0014584064483642578,0.15007615089416504,0.01988053321838379
21,1,2,8,,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,0.0010280609130859375,0.0010194778442382812,0.14901471138000488,0.019919633865356445
22,10,2,8,,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,0.0010275840759277344,0.0011391639709472656,0.15000200271606445,0.019586801528930664
23,100,2,8,,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,0.0009553432464599609,0.00128936767578125,0.14644408226013184,0.01916980743408203
24,1,2,16,cos,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,0.0014340877532958984,0.0014023780822753906,0.14916157722473145,0.02118849754333496
25,10,2,16,cos,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,0.001374959945678711,0.001379251480102539,0.14783287048339844,0.019747018814086914
26,100,2,16,cos,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,0.0013782978057861328,0.001506805419921875,0.14610910415649414,0.019026756286621094
27,1,2,16,,0.615916955017301,0.3763440860215054,0.3977272727272727,0.38674033149171266,0,0,0.0010745525360107422,0.001039266586303711,0.1523127555847168,0.020306110382080078
