,target,enrich,p,actives_database,hdc_actives_sampled
0,PPARG,40.10204081632653,0.0125,7,6
1,PPARG,5.7142857142857135,0.125,7,6
2,ALDH1,13.610069854388035,0.0125,1792,1545
3,ALDH1,4.430071005393064,0.125,1792,1545
4,KAT2A,12.242932035199402,0.0125,49,40
5,KAT2A,2.857011780512182,0.125,49,40
6,MTORC1,20.753012048192772,0.0125,24,20
7,MTORC1,4.582224909310761,0.125,24,20
8,FEN1,41.27789447972643,0.0125,92,68
9,FEN1,6.303851699782486,0.125,92,68
10,ESR1_ant,29.893491124260358,0.0125,26,21
11,ESR1_ant,4.207450030284676,0.125,26,21
12,ADRB2,0.0,0.0125,4,2
13,ADRB2,0.0,0.125,4,2
14,GBA,33.313090418353575,0.0125,42,36
15,GBA,4.761583272250299,0.125,42,36
16,PKM2,31.345080102379374,0.0125,137,118
17,PKM2,5.036332615113001,0.125,137,118
18,OPRK1,49.97037037037037,0.0125,6,6
19,OPRK1,6.666666666666666,0.125,6,6
20,TP53,38.618181818181824,0.0125,20,17
21,TP53,5.4588785046728985,0.125,20,17
22,ESR1_ago,0.0,0.0125,3,3
23,ESR1_ago,0.0,0.125,3,3
24,VDR,24.877939779900565,0.0125,221,141
25,VDR,4.027058894651469,0.125,221,141
26,IDH1,29.97417218543046,0.0125,10,10
27,IDH1,6.999381420523583,0.125,10,10
28,MAPK1,3.8800756205819495,0.0125,77,69
29,MAPK1,3.3755507516625687,0.125,77,69
