,target,enrich,p,actives_database
0,dyr,44.8595146871009,0.1,27
1,dyr,19.05581637976004,0.25,27
2,dyr,9.964539007092199,0.5,27
3,dyr,6.658767772511848,0.75,27
4,dyr,5.0,1.0,27
5,inha,26.0,0.1,8
6,inha,18.90909090909091,0.25,8
7,inha,9.904761904761905,0.5,8
8,inha,6.5,0.75,8
9,inha,4.9523809523809526,1.0,8
10,aces,47.638888888888886,0.1,36
11,aces,19.87735849056604,0.25,36
12,aces,9.985781990521327,0.5,36
13,aces,6.646687697160884,0.75,36
14,aces,4.992890995260663,1.0,36
15,cdk2,47.12436974789915,0.1,35
16,cdk2,18.77611607142857,0.25,35
17,cdk2,9.424873949579831,0.5,35
18,cdk2,6.275046624393882,0.75,35
19,cdk2,4.712436974789916,1.0,35
20,kith,44.666666666666664,0.1,4
21,kith,19.142857142857142,0.25,4
22,kith,9.925925925925926,0.5,4
23,kith,6.536585365853658,0.75,4
24,kith,4.962962962962963,1.0,4
25,esr1,40.51282051282051,0.1,39
26,esr1,19.487179487179485,0.25,39
27,esr1,9.743589743589743,0.5,39
28,esr1,6.495726495726496,0.75,39
29,esr1,4.871794871794871,1.0,39
30,gcr,38.40909090909091,0.1,22
31,gcr,19.651162790697676,0.25,22
32,gcr,9.941176470588236,0.5,22
33,gcr,6.653543307086614,0.75,22
34,gcr,5.0,1.0,22
35,rxra,46.916666666666664,0.1,9
36,rxra,19.413793103448278,0.25,9
37,rxra,9.87719298245614,0.5,9
38,rxra,6.623529411764705,0.75,9
39,rxra,4.982300884955753,1.0,9
40,ampc,24.583333333333332,0.1,8
41,ampc,9.833333333333334,0.25,8
42,ampc,7.375,0.5,8
43,ampc,5.736111111111111,0.75,8
44,ampc,4.375,1.0,8
45,hivrt,7.35,0.1,20
46,hivrt,7.3500000000000005,0.25,20
47,hivrt,7.3500000000000005,0.5,20
48,hivrt,6.391304347826087,0.75,20
49,hivrt,4.9,1.0,20
50,pgh1,39.75187969924812,0.1,21
51,pgh1,17.960486322188448,0.25,21
52,pgh1,8.980243161094224,0.5,21
53,pgh1,5.9868287740628165,0.75,21
54,pgh1,4.5141329258976315,1.0,21
55,bace1,48.45161290322581,0.1,31
56,bace1,19.763157894736842,0.25,31
57,bace1,9.947019867549669,0.5,31
58,bace1,6.646017699115045,0.75,31
59,bace1,4.990033222591362,1.0,31
60,nram,43.050000000000004,0.1,10
61,nram,19.79310344827586,0.25,10
62,nram,9.89655172413793,0.5,10
63,nram,6.597701149425287,0.75,10
64,nram,4.991304347826087,1.0,10
65,pygm,44.125,0.1,7
66,pygm,19.61111111111111,0.25,7
67,pygm,9.805555555555555,0.5,7
68,pygm,6.537037037037037,0.75,7
69,pygm,4.971830985915493,1.0,7
70,mcr,15.555555555555554,0.1,9
71,mcr,13.333333333333332,0.25,9
72,mcr,10.0,0.5,9
73,mcr,6.666666666666667,0.75,9
74,mcr,5.0,1.0,9
75,pgh2,43.35238095238095,0.1,36
76,pgh2,18.74612403100775,0.25,36
77,pgh2,9.427875243664717,0.5,36
78,pgh2,6.273022049286641,0.75,36
79,pgh2,4.7139376218323585,1.0,36
80,parp1,49.77358490566038,0.1,49
81,parp1,19.984848484848484,0.25,49
82,parp1,9.992424242424242,0.5,49
83,parp1,6.661616161616162,0.75,49
84,parp1,4.996212121212121,1.0,49
85,ada,48.63636363636363,0.1,4
86,ada,19.814814814814813,0.25,4
87,ada,9.907407407407407,0.5,4
88,ada,6.604938271604938,0.75,4
89,ada,5.0,1.0,4
90,comt,49.875,0.1,6
91,comt,19.95,0.25,6
92,comt,9.975,0.5,6
93,comt,6.65,0.75,6
94,comt,4.9875,1.0,6
95,pparg,47.53191489361703,0.1,47
96,pparg,19.522036474164135,0.25,47
97,pparg,9.973214285714286,0.5,47
98,pparg,6.648809523809524,0.75,47
99,pparg,4.997762863534676,1.0,47
100,vgfr2,42.53488372093023,0.1,43
101,vgfr2,19.880434782608695,0.25,43
102,vgfr2,9.994535519125684,0.5,43
103,vgfr2,6.650909090909091,0.75,43
104,vgfr2,4.997267759562842,1.0,43
105,pnph,49.46153846153846,0.1,7
106,pnph,19.484848484848484,0.25,7
107,pnph,9.892307692307693,0.5,7
108,pnph,6.628865979381444,0.75,7
109,pnph,4.984496124031008,1.0,7
110,prgr,39.458333333333336,0.1,24
111,prgr,17.263020833333336,0.25,24
112,prgr,9.137719298245614,0.5,24
113,prgr,6.346445221445221,0.75,24
114,prgr,4.984210526315789,1.0,24
115,thrb,16.840000000000003,0.1,50
116,thrb,16.84,0.25,50
117,thrb,9.905882352941177,0.5,50
118,thrb,6.6299212598425195,0.75,50
119,thrb,4.982248520710059,1.0,50
120,pur2,46.4,0.1,4
121,pur2,19.333333333333332,0.25,4
122,pur2,9.666666666666666,0.5,4
123,pur2,6.444444444444445,0.75,4
124,pur2,4.9361702127659575,1.0,4
125,hmdh,44.94117647058823,0.1,17
126,hmdh,19.58974358974359,0.25,17
127,hmdh,9.922077922077921,0.5,17
128,hmdh,6.643478260869565,0.75,17
129,hmdh,4.993464052287582,1.0,17
130,mk14,47.244826659500134,0.1,61
131,mk14,19.613891285591023,0.25,61
132,mk14,9.806945642795512,0.5,61
133,mk14,6.646929824561403,0.75,61
134,mk14,4.99341021416804,1.0,61
135,hs90a,46.3,0.1,5
136,hs90a,19.291666666666668,0.25,5
137,hs90a,9.851063829787234,0.5,5
138,hs90a,6.614285714285714,0.75,5
139,hs90a,4.978494623655914,1.0,5
140,ace,49.74193548387097,0.1,22
141,ace,19.76923076923077,0.25,22
142,ace,9.948387096774194,0.5,22
143,ace,6.646551724137931,0.75,22
144,ace,4.990291262135922,1.0,22
145,pde5a,46.34897360703812,0.1,31
146,pde5a,18.709677419354836,0.25,31
147,pde5a,9.67741935483871,0.5,31
148,pde5a,6.666666666666667,0.75,31
149,pde5a,5.0,1.0,31
150,src,47.46774193548387,0.1,62
151,src,19.56440714908457,0.25,62
152,src,9.815363586659377,0.5,62
153,src,6.550977959421982,0.75,62
154,src,4.91601402048305,1.0,62
155,hivpr,48.583333333333336,0.1,54
156,hivpr,19.93288590604027,0.25,54
157,hivpr,10.0,0.5,54
158,hivpr,6.6591928251121075,0.75,54
159,hivpr,5.0,1.0,54
160,aldr,43.346405228758165,0.1,18
161,aldr,19.738095238095237,0.25,18
162,aldr,9.987951807228916,0.5,18
163,aldr,6.632,0.75,18
164,aldr,4.993975903614458,1.0,18
165,try1,16.68888888888889,0.1,45
166,try1,16.68888888888889,0.25,45
167,try1,9.661988304093567,0.5,45
168,try1,6.441325536062378,0.75,45
169,try1,4.86298749080206,1.0,45
170,andr,45.285714285714285,0.1,14
171,andr,19.8125,0.25,14
172,andr,9.90625,0.5,14
173,andr,6.604166666666667,0.75,14
174,andr,4.9921259842519685,1.0,14
175,fa10,32.84,0.1,50
176,fa10,19.783132530120483,0.25,50
177,fa10,9.951515151515151,0.5,50
178,fa10,6.647773279352227,0.75,50
179,fa10,4.990881458966565,1.0,50
180,sahh,47.285714285714285,0.1,7
181,sahh,19.470588235294116,0.25,7
182,sahh,9.735294117647058,0.5,7
183,sahh,6.490196078431373,0.75,7
184,sahh,4.940298507462686,1.0,7
185,egfr,47.346656976744185,0.1,43
186,egfr,19.05777387743162,0.25,43
187,egfr,9.761298815269855,0.5,43
188,egfr,6.5075325435132365,0.75,43
189,egfr,4.880649407634928,1.0,43
