,target,enrich,p,actives_database,hdc_actives_sampled
0,PPARG,1.4285714285714284,0.1,7,7
1,PPARG,13.367346938775508,0.01,7,7
2,ALDH1,5.077285409203637,0.1,1792,1792
3,ALDH1,14.167859602518693,0.01,1792,1792
4,KAT2A,3.4692285906219356,0.1,49,49
5,KAT2A,14.283420707732635,0.01,49,49
6,MTORC1,3.7490931076178957,0.1,24,24
7,MTORC1,12.451807228915662,0.01,24,24
8,FEN1,7.282035584231493,0.1,92,92
9,FEN1,42.36415486077186,0.01,92,92
10,ESR1_ant,5.354936402180496,0.1,26,26
11,ESR1_ant,29.893491124260358,0.01,26,26
12,ADRB2,4.9996800204786895,0.1,4,4
13,ADRB2,0.0,0.01,4,4
14,GBA,4.999662435862814,0.1,42,42
15,GBA,40.45160979371506,0.01,42,42
16,PKM2,5.474274581644566,0.1,137,137
17,PKM2,26.242392643852497,0.01,137,137
18,OPRK1,6.666666666666666,0.1,6,6
19,OPRK1,66.62716049382715,0.01,6,6
20,TP53,4.962616822429907,0.1,20,20
21,TP53,24.136363636363637,0.01,20,20
22,ESR1_ago,0.0,0.1,3,3
23,ESR1_ago,0.0,0.01,3,3
24,VDR,5.520238035364935,0.1,221,221
25,VDR,29.85352773588068,0.01,221,221
26,IDH1,2.999734894510107,0.1,10,10
27,IDH1,9.991390728476823,0.01,10,10
28,MAPK1,2.5965775012788987,0.1,77,77
29,MAPK1,7.760151241163899,0.01,77,77
