,target,enrich,p,actives_database
0,PPARG,13.862433862433862,0.1,7
1,PPARG,5.67099567099567,0.25,7
2,PPARG,2.8571428571428568,0.5,7
3,PPARG,1.899927483683829,0.75,7
4,PPARG,1.4285714285714284,1.0,7
5,ALDH1,6.693476977567887,0.1,1792
6,ALDH1,3.926839826839827,0.25,1792
7,ALDH1,2.365680234617958,0.5,1792
8,ALDH1,1.785583055562846,0.75,1792
9,ALDH1,1.4480627694442805,1.0,1792
10,KAT2A,5.101221681333084,0.1,49
11,KAT2A,2.0404886725332334,0.25,49
12,KAT2A,1.428505890256091,0.5,49
13,KAT2A,1.2243868110743037,0.75,49
14,KAT2A,1.0203613501829223,1.0,49
15,MTORC1,4.150602409638553,0.1,24
16,MTORC1,2.496376811594203,0.25,24
17,MTORC1,1.6662636033857314,0.5,24
18,MTORC1,1.1103948428686543,0.75,24
19,MTORC1,0.8331318016928657,1.0,24
20,FEN1,6.52122589632671,0.1,92
21,FEN1,3.4775961839224276,0.25,92
22,FEN1,1.847680670625901,0.5,92
23,FEN1,1.231833275762059,0.75,92
24,FEN1,0.9238922685489567,1.0,92
25,ESR1_ant,5.6050295857988175,0.1,26
26,ESR1_ant,2.277043269230769,0.25,26
27,ESR1_ant,1.1474863718958208,0.5,26
28,ESR1_ant,0.767004048582996,0.75,26
29,ESR1_ant,0.7680145941015507,1.0,26
30,ADRB2,0.0,0.1,4
31,ADRB2,0.0,0.25,4
32,ADRB2,0.0,0.5,4
33,ADRB2,0.0,0.75,4
34,ADRB2,0.0,1.0,4
35,GBA,5.948766146134567,0.1,42
36,GBA,2.8569499633501794,0.25,42
37,GBA,2.618870799737665,0.5,42
38,GBA,1.7459138664917764,0.75,42
39,GBA,1.5476190476190477,1.0,42
40,PKM2,4.742058856665104,0.1,137
41,PKM2,2.6276517991893917,0.25,137
42,PKM2,1.6787775383710002,0.5,137
43,PKM2,1.3138258995946959,0.75,137
44,PKM2,1.1313500802065437,1.0,137
45,OPRK1,0.0,0.1,6
46,OPRK1,0.0,0.25,6
47,OPRK1,0.0,0.5,6
48,OPRK1,0.0,0.75,6
49,OPRK1,0.0,1.0,6
50,TP53,12.068181818181818,0.1,20
51,TP53,4.916666666666667,0.25,20
52,TP53,2.4813084112149535,0.5,20
53,TP53,1.659375,0.75,20
54,TP53,1.2464788732394365,1.0,20
55,ESR1_ago,0.0,0.1,3
56,ESR1_ago,0.0,0.25,3
57,ESR1_ago,6.661904761904761,0.5,3
58,ESR1_ago,4.4412698412698415,0.75,3
59,ESR1_ago,3.3309523809523807,1.0,3
60,VDR,3.6186094225309917,0.1,221
61,VDR,1.809710931452129,0.25,221
62,VDR,1.0407006132245369,0.5,221
63,VDR,0.8144308704235091,0.75,221
64,VDR,0.6560938648589472,1.0,221
65,IDH1,19.993815571507454,0.1,10
66,IDH1,7.9984095427435395,0.25,10
67,IDH1,3.9996465260134766,0.5,10
68,IDH1,2.6665291994992266,0.75,10
69,IDH1,1.9999337199668599,1.0,10
70,MAPK1,3.2436611008039575,0.1,77
71,MAPK1,2.336919751151009,0.25,77
72,MAPK1,1.8176042508952293,0.5,77
73,MAPK1,1.2982887506394494,0.75,77
74,MAPK1,0.974025974025974,1.0,77
