,target,enrich,p,actives_database,hdc_actives_sampled
0,dyr,52.037037037037045,0.1,27,26
1,dyr,36.13683127572016,0.25,27,26
2,dyr,19.05581637976004,0.5,27,26
3,dyr,12.763801537386442,0.75,27,26
4,dyr,9.595482006829524,1.0,27,26
5,inha,26.0,0.1,8,8
6,inha,26.0,0.25,8,8
7,inha,18.90909090909091,0.5,8,8
8,inha,13.0,0.75,8,8
9,inha,9.904761904761905,1.0,8,8
10,aces,58.52777777777778,0.1,36,36
11,aces,39.75471698113208,0.25,36,36
12,aces,19.87735849056604,0.5,36,36
13,aces,13.251572327044025,0.75,36,36
14,aces,9.985781990521327,1.0,36,36
15,cdk2,72.82857142857142,0.1,35,33
16,cdk2,37.55223214285714,0.25,35,33
17,cdk2,18.77611607142857,0.5,35,33
18,cdk2,12.517410714285713,0.75,35,33
19,cdk2,9.424873949579831,1.0,35,33
20,kith,67.0,0.1,4,4
21,kith,38.285714285714285,0.25,4,4
22,kith,19.142857142857142,0.5,4,4
23,kith,12.761904761904763,0.75,4,4
24,kith,9.925925925925926,1.0,4,4
25,esr1,40.51282051282051,0.1,39,38
26,esr1,38.48717948717949,0.25,39,38
27,esr1,19.487179487179485,0.5,39,38
28,esr1,12.936867054514114,0.75,39,38
29,esr1,9.743589743589743,1.0,39,38
30,gcr,38.409090909090914,0.1,22,22
31,gcr,38.40909090909091,0.25,22,22
32,gcr,19.651162790697676,0.5,22,22
33,gcr,13.203125,0.75,22,22
34,gcr,9.941176470588236,1.0,22,22
35,rxra,62.55555555555555,0.1,9,9
36,rxra,37.53333333333333,0.25,9,9
37,rxra,19.413793103448278,0.5,9,9
38,rxra,13.093023255813954,0.75,9,9
39,rxra,9.87719298245614,1.0,9,9
40,ampc,24.583333333333332,0.1,8,6
41,ampc,18.4375,0.25,8,6
42,ampc,12.291666666666668,0.5,8,6
43,ampc,9.619565217391305,0.75,8,6
44,ampc,7.375,1.0,8,6
45,hivrt,7.3500000000000005,0.1,20,15
46,hivrt,7.3500000000000005,0.25,20,15
47,hivrt,7.3500000000000005,0.5,20,15
48,hivrt,7.35,0.75,20,15
49,hivrt,7.3500000000000005,1.0,20,15
50,pgh1,44.42857142857142,0.1,21,19
51,pgh1,33.32142857142857,0.25,21,19
52,pgh1,17.960486322188448,0.5,21,19
53,pgh1,11.88933601609658,0.75,21,19
54,pgh1,8.980243161094224,1.0,21,19
55,bace1,48.45161290322581,0.1,31,31
56,bace1,39.526315789473685,0.25,31,31
57,bace1,19.763157894736842,0.5,31,31
58,bace1,13.175438596491228,0.75,31,31
59,bace1,9.947019867549669,1.0,31,31
60,nram,57.4,0.1,10,10
61,nram,34.44,0.25,10,10
62,nram,19.79310344827586,0.5,10,10
63,nram,13.045454545454545,0.75,10,10
64,nram,9.89655172413793,1.0,10,10
65,pygm,50.42857142857142,0.1,7,7
66,pygm,39.22222222222222,0.25,7,7
67,pygm,19.61111111111111,0.5,7,7
68,pygm,13.074074074074074,0.75,7,7
69,pygm,9.805555555555555,1.0,7,7
70,mcr,15.555555555555555,0.1,9,7
71,mcr,15.555555555555555,0.25,9,7
72,mcr,13.333333333333332,0.5,9,7
73,mcr,9.898989898989898,0.75,9,7
74,mcr,7.777777777777778,1.0,9,7
75,pgh2,47.416666666666664,0.1,36,33
76,pgh2,34.184108527131784,0.25,36,33
77,pgh2,18.194767441860463,0.5,36,33
78,pgh2,12.12984496124031,0.75,36,33
79,pgh2,9.150584795321636,1.0,36,33
80,parp1,53.836734693877546,0.1,49,49
81,parp1,39.96969696969697,0.25,49,49
82,parp1,19.984848484848484,0.5,49,49
83,parp1,13.323232323232324,0.75,49,49
84,parp1,9.992424242424242,1.0,49,49
85,ada,89.16666666666667,0.1,4,4
86,ada,38.214285714285715,0.25,4,4
87,ada,19.814814814814813,0.5,4,4
88,ada,13.048780487804878,0.75,4,4
89,ada,9.907407407407407,1.0,4,4
90,comt,66.5,0.1,6,6
91,comt,39.9,0.25,6,6
