Step Name,Workspace,State,Run Time,Elapsed Time,Start Time,Submit Time,End Time,Number Restarts
dude_FEAT.smiles_to_seq.TARGET.aldr,FEAT.smiles_to_seq.TARGET.aldr,FINISHED,0d:00h:02m:00s,0d:00h:37m:11s,2022-05-23 23:01:32,2022-05-23 22:26:21,2022-05-23 23:03:32,0
dude_FEAT.smiles_to_seq.TARGET.ampc,FEAT.smiles_to_seq.TARGET.ampc,FINISHED,0d:00h:02m:00s,0d:00h:43m:12s,2022-05-23 23:07:33,2022-05-23 22:26:21,2022-05-23 23:09:33,0
dude_FEAT.smiles_to_seq.TARGET.try1,FEAT.smiles_to_seq.TARGET.try1,FINISHED,0d:00h:02m:00s,0d:02h:47m:26s,2022-05-24 01:11:52,2022-05-23 22:26:26,2022-05-24 01:13:52,0
dude_FEAT.maacs.TARGET.pgh2,FEAT.maacs.TARGET.pgh2,FINISHED,0d:00h:02m:01s,0d:02h:26m:24s,2022-05-24 00:50:48,2022-05-23 22:26:25,2022-05-24 00:52:49,0
dude_FEAT.mordred.TARGET.aces,FEAT.mordred.TARGET.aces,FINISHED,0d:00h:05m:01s,0d:00h:27m:10s,2022-05-23 22:48:30,2022-05-23 22:26:21,2022-05-23 22:53:31,0
dude_FEAT.smiles_to_seq.TARGET.vgfr2,FEAT.smiles_to_seq.TARGET.vgfr2,FINISHED,0d:00h:02m:01s,0d:02h:49m:27s,2022-05-24 01:13:52,2022-05-23 22:26:26,2022-05-24 01:15:53,0
dude_FEAT.rdkit.TARGET.fa10,FEAT.rdkit.TARGET.fa10,FINISHED,0d:00h:02m:00s,0d:01h:38m:18s,2022-05-24 00:02:41,2022-05-23 22:26:23,2022-05-24 00:04:41,0
dude_FEAT.maacs.TARGET.aces,FEAT.maacs.TARGET.aces,FINISHED,0d:00h:02m:00s,0d:00h:29m:10s,2022-05-23 22:53:31,2022-05-23 22:26:21,2022-05-23 22:55:31,0
dude_FEAT.smiles_to_image.TARGET.mcr,FEAT.smiles_to_image.TARGET.mcr,FINISHED,0d:00h:07m:01s,0d:02h:11m:22s,2022-05-24 00:30:45,2022-05-23 22:26:24,2022-05-24 00:37:46,0
dude_FEAT.smiles_to_image.TARGET.aces,FEAT.smiles_to_image.TARGET.aces,FINISHED,0d:00h:12m:02s,0d:00h:33m:11s,2022-05-23 22:47:30,2022-05-23 22:26:21,2022-05-23 22:59:32,0
dude_FEAT.smiles_to_seq.TARGET.inha,FEAT.smiles_to_seq.TARGET.inha,FINISHED,0d:00h:01m:00s,0d:02h:00m:21s,2022-05-24 00:25:45,2022-05-23 22:26:24,2022-05-24 00:26:45,0
dude_FEAT.rdkit.TARGET.pgh2,FEAT.rdkit.TARGET.pgh2,FINISHED,0d:00h:02m:00s,0d:02h:27m:24s,2022-05-24 00:51:49,2022-05-23 22:26:25,2022-05-24 00:53:49,0
dude_FEAT.maacs.TARGET.vgfr2,FEAT.maacs.TARGET.vgfr2,FINISHED,0d:00h:01m:00s,0d:02h:50m:26s,2022-05-24 01:15:53,2022-05-23 22:26:27,2022-05-24 01:16:53,0
dude_FEAT.mordred.TARGET.try1,FEAT.mordred.TARGET.try1,FINISHED,0d:00h:03m:01s,0d:02h:49m:27s,2022-05-24 01:12:52,2022-05-23 22:26:26,2022-05-24 01:15:53,0
dude_FEAT.smiles_to_image.TARGET.pygm,FEAT.smiles_to_image.TARGET.pygm,FINISHED,0d:00h:07m:01s,0d:02h:42m:25s,2022-05-24 01:01:50,2022-05-23 22:26:26,2022-05-24 01:08:51,0
dude_FEAT.maacs.TARGET.ampc,FEAT.maacs.TARGET.ampc,FINISHED,--:--:--,0d:00h:47m:12s,--,2022-05-23 22:26:22,2022-05-23 23:13:34,0
dude_FEAT.maacs.TARGET.hivrt,FEAT.maacs.TARGET.hivrt,FINISHED,0d:00h:01m:01s,0d:01h:52m:21s,2022-05-24 00:17:43,2022-05-23 22:26:23,2022-05-24 00:18:44,0
dude_FEAT.ecfp.TARGET.parp1,FEAT.ecfp.TARGET.parp1,FINISHED,0d:00h:04m:01s,0d:02h:15m:23s,2022-05-24 00:37:46,2022-05-23 22:26:24,2022-05-24 00:41:47,0
dude_FEAT.maacs.TARGET.cdk2,FEAT.maacs.TARGET.cdk2,FINISHED,0d:00h:02m:01s,0d:01h:07m:15s,2022-05-23 23:31:36,2022-05-23 22:26:22,2022-05-23 23:33:37,0
dude_FEAT.smiles_to_seq.TARGET.esr1,FEAT.smiles_to_seq.TARGET.esr1,FINISHED,0d:00h:02m:00s,0d:01h:29m:17s,2022-05-23 23:53:40,2022-05-23 22:26:23,2022-05-23 23:55:40,0
dude_FEAT.mordred.TARGET.hivpr,FEAT.mordred.TARGET.hivpr,FINISHED,0d:00h:06m:00s,0d:01h:51m:20s,2022-05-24 00:11:43,2022-05-23 22:26:23,2022-05-24 00:17:43,0
dude_FEAT.smiles_to_seq.TARGET.pur2,FEAT.smiles_to_seq.TARGET.pur2,FINISHED,--:--:--,0d:02h:34m:25s,--,2022-05-23 22:26:25,2022-05-24 01:00:50,0
dude_FEAT.smiles_to_image.TARGET.comt,FEAT.smiles_to_image.TARGET.comt,FINISHED,0d:00h:08m:01s,0d:01h:17m:16s,2022-05-23 23:35:37,2022-05-23 22:26:22,2022-05-23 23:43:38,0
dude_FEAT.maacs.TARGET.kith,FEAT.maacs.TARGET.kith,FINISHED,0d:00h:01m:00s,0d:02h:04m:21s,2022-05-24 00:29:45,2022-05-23 22:26:24,2022-05-24 00:30:45,0
dude_FEAT.smiles_to_image.TARGET.gcr,FEAT.smiles_to_image.TARGET.gcr,FINISHED,0d:00h:10m:02s,0d:01h:48m:20s,2022-05-24 00:04:41,2022-05-23 22:26:23,2022-05-24 00:14:43,0
dude_FEAT.smiles_to_image.TARGET.pnph,FEAT.smiles_to_image.TARGET.pnph,FINISHED,0d:00h:08m:01s,0d:02h:35m:25s,2022-05-24 00:53:49,2022-05-23 22:26:25,2022-05-24 01:01:50,0
dude_FEAT.smiles_to_seq.TARGET.ada,FEAT.smiles_to_seq.TARGET.ada,FINISHED,0d:00h:02m:00s,0d:00h:32m:10s,2022-05-23 22:56:31,2022-05-23 22:26:21,2022-05-23 22:58:31,0
dude_FEAT.ecfp.TARGET.pde5a,FEAT.ecfp.TARGET.pde5a,FINISHED,0d:00h:03m:01s,0d:02h:18m:24s,2022-05-24 00:41:47,2022-05-23 22:26:24,2022-05-24 00:44:48,0
dude_FEAT.mordred.TARGET.pgh1,FEAT.mordred.TARGET.pgh1,FINISHED,0d:00h:04m:00s,0d:02h:24m:23s,2022-05-24 00:46:48,2022-05-23 22:26:25,2022-05-24 00:50:48,0
dude_FEAT.smiles_to_seq.TARGET.aces,FEAT.smiles_to_seq.TARGET.aces,FINISHED,0d:00h:02m:00s,0d:00h:22m:09s,2022-05-23 22:46:30,2022-05-23 22:26:21,2022-05-23 22:48:30,0
dude_FEAT.ecfp.TARGET.mcr,FEAT.ecfp.TARGET.mcr,FINISHED,0d:00h:02m:01s,0d:02h:05m:22s,2022-05-24 00:29:45,2022-05-23 22:26:24,2022-05-24 00:31:46,0
dude_FEAT.mordred.TARGET.esr1,FEAT.mordred.TARGET.esr1,FINISHED,0d:00h:04m:00s,0d:01h:31m:17s,2022-05-23 23:53:40,2022-05-23 22:26:23,2022-05-23 23:57:40,0
dude_FEAT.smiles_to_image.TARGET.cdk2,FEAT.smiles_to_image.TARGET.cdk2,FINISHED,0d:00h:13m:02s,0d:01h:17m:16s,2022-05-23 23:30:36,2022-05-23 22:26:22,2022-05-23 23:43:38,0
dude_FEAT.smiles_to_seq.TARGET.pparg,FEAT.smiles_to_seq.TARGET.pparg,FINISHED,0d:00h:02m:01s,0d:02h:31m:25s,2022-05-24 00:55:49,2022-05-23 22:26:25,2022-05-24 00:57:50,0
dude_FEAT.maacs.TARGET.try1,FEAT.maacs.TARGET.try1,FINISHED,0d:00h:02m:00s,0d:02h:48m:26s,2022-05-24 01:12:52,2022-05-23 22:26:26,2022-05-24 01:14:52,0
dude_FEAT.ecfp.TARGET.ampc,FEAT.ecfp.TARGET.ampc,FINISHED,0d:00h:02m:00s,0d:00h:42m:12s,2022-05-23 23:06:33,2022-05-23 22:26:21,2022-05-23 23:08:33,0
dude_FEAT.rdkit.TARGET.src,FEAT.rdkit.TARGET.src,FINISHED,0d:00h:03m:01s,0d:02h:45m:26s,2022-05-24 01:08:51,2022-05-23 22:26:26,2022-05-24 01:11:52,0
dude_FEAT.smiles_to_image.TARGET.vgfr2,FEAT.smiles_to_image.TARGET.vgfr2,FINISHED,0d:00h:12m:02s,0d:02h:59m:28s,2022-05-24 01:13:52,2022-05-23 22:26:26,2022-05-24 01:25:54,0
dude_FEAT.smiles_to_seq.TARGET.pgh1,FEAT.smiles_to_seq.TARGET.pgh1,FINISHED,0d:00h:02m:00s,0d:02h:21m:23s,2022-05-24 00:45:48,2022-05-23 22:26:25,2022-05-24 00:47:48,0
dude_FEAT.mordred.TARGET.ampc,FEAT.mordred.TARGET.ampc,FINISHED,0d:00h:03m:00s,0d:00h:46m:11s,2022-05-23 23:09:33,2022-05-23 22:26:22,2022-05-23 23:12:33,0
dude_FEAT.smiles_to_seq.TARGET.nram,FEAT.smiles_to_seq.TARGET.nram,FINISHED,--:--:--,0d:02h:10m:22s,--,2022-05-23 22:26:24,2022-05-24 00:36:46,0
dude_FEAT.smiles_to_image.TARGET.andr,FEAT.smiles_to_image.TARGET.andr,FINISHED,0d:00h:10m:01s,0d:00h:59m:13s,2022-05-23 23:15:34,2022-05-23 22:26:22,2022-05-23 23:25:35,0
dude_FEAT.ecfp.TARGET.prgr,FEAT.ecfp.TARGET.prgr,FINISHED,0d:00h:03m:01s,0d:02h:33m:25s,2022-05-24 00:56:49,2022-05-23 22:26:25,2022-05-24 00:59:50,0
dude_FEAT.rdkit.TARGET.pur2,FEAT.rdkit.TARGET.pur2,FINISHED,--:--:--,0d:02h:34m:24s,--,2022-05-23 22:26:26,2022-05-24 01:00:50,0
dude_FEAT.smiles_to_image.TARGET.esr1,FEAT.smiles_to_image.TARGET.esr1,FINISHED,0d:00h:10m:01s,0d:01h:37m:18s,2022-05-23 23:53:40,2022-05-23 22:26:23,2022-05-24 00:03:41,0
dude_FEAT.smiles_to_image.TARGET.ampc,FEAT.smiles_to_image.TARGET.ampc,FINISHED,0d:00h:07m:01s,0d:00h:49m:13s,2022-05-23 23:08:33,2022-05-23 22:26:21,2022-05-23 23:15:34,0
dude_FEAT.smiles_to_seq.TARGET.cdk2,FEAT.smiles_to_seq.TARGET.cdk2,FINISHED,0d:00h:03m:00s,0d:01h:04m:14s,2022-05-23 23:27:36,2022-05-23 22:26:22,2022-05-23 23:30:36,0
dude_FEAT.rdkit.TARGET.prgr,FEAT.rdkit.TARGET.prgr,FINISHED,0d:00h:02m:00s,0d:02h:34m:25s,2022-05-24 00:58:50,2022-05-23 22:26:25,2022-05-24 01:00:50,0
dude_FEAT.rdkit.TARGET.inha,FEAT.rdkit.TARGET.inha,FINISHED,--:--:--,0d:02h:02m:21s,--,2022-05-23 22:26:24,2022-05-24 00:28:45,0
dude_FEAT.smiles_to_seq.TARGET.mcr,FEAT.smiles_to_seq.TARGET.mcr,FINISHED,0d:00h:01m:01s,0d:02h:05m:22s,2022-05-24 00:30:45,2022-05-23 22:26:24,2022-05-24 00:31:46,0
dude_FEAT.smiles_to_seq.TARGET.pygm,FEAT.smiles_to_seq.TARGET.pygm,FINISHED,0d:00h:02m:00s,0d:02h:36m:24s,2022-05-24 01:00:50,2022-05-23 22:26:26,2022-05-24 01:02:50,0
dude_FEAT.rdkit.TARGET.hivrt,FEAT.rdkit.TARGET.hivrt,FINISHED,0d:00h:01m:00s,0d:01h:53m:21s,2022-05-24 00:18:44,2022-05-23 22:26:23,2022-05-24 00:19:44,0
dude_FEAT.smiles_to_seq.TARGET.parp1,FEAT.smiles_to_seq.TARGET.parp1,FINISHED,0d:00h:02m:00s,0d:02h:14m:23s,2022-05-24 00:38:47,2022-05-23 22:26:24,2022-05-24 00:40:47,0
dude_FEAT.rdkit.TARGET.pgh1,FEAT.rdkit.TARGET.pgh1,FINISHED,0d:00h:01m:00s,0d:02h:22m:23s,2022-05-24 00:47:48,2022-05-23 22:26:25,2022-05-24 00:48:48,0
dude_FEAT.smiles_to_seq.TARGET.hs90a,FEAT.smiles_to_seq.TARGET.hs90a,FINISHED,0d:00h:02m:01s,0d:01h:59m:22s,2022-05-24 00:23:44,2022-05-23 22:26:23,2022-05-24 00:25:45,0
dude_FEAT.maacs.TARGET.mcr,FEAT.maacs.TARGET.mcr,FINISHED,0d:00h:01m:00s,0d:02h:06m:22s,2022-05-24 00:31:46,2022-05-23 22:26:24,2022-05-24 00:32:46,0
dude_FEAT.smiles_to_seq.TARGET.mk14,FEAT.smiles_to_seq.TARGET.mk14,FINISHED,0d:00h:03m:00s,0d:02h:09m:22s,2022-05-24 00:32:46,2022-05-23 22:26:24,2022-05-24 00:35:46,0
dude_FEAT.maacs.TARGET.pparg,FEAT.maacs.TARGET.pparg,FINISHED,0d:00h:02m:01s,0d:02h:31m:25s,2022-05-24 00:55:49,2022-05-23 22:26:25,2022-05-24 00:57:50,0
