Step Name,Workspace,State,Run Time,Elapsed Time,Start Time,Submit Time,End Time,Number Restarts
dude_FEAT.mordred.TARGET.hivpr,FEAT.mordred.TARGET.hivpr,FINISHED,0d:00h:43m:08s,0d:01h:32m:20s,2022-06-03 20:01:08,2022-06-03 19:11:56,2022-06-03 20:44:16,0
dude_FEAT.smiles_to_seq.TARGET.hivrt,FEAT.smiles_to_seq.TARGET.hivrt,FINISHED,0d:00h:04m:01s,0d:00h:55m:13s,2022-06-03 20:03:08,2022-06-03 19:11:56,2022-06-03 20:07:09,0
dude_FEAT.rdkit.TARGET.pnph,FEAT.rdkit.TARGET.pnph,FINISHED,0d:00h:09m:02s,0d:01h:32m:18s,2022-06-03 20:35:14,2022-06-03 19:11:58,2022-06-03 20:44:16,0
dude_FEAT.smiles_to_image.TARGET.pygm,FEAT.smiles_to_image.TARGET.pygm,FINISHED,0d:00h:14m:03s,0d:01h:48m:20s,2022-06-03 20:46:16,2022-06-03 19:11:59,2022-06-03 21:00:19,0
dude_FEAT.maacs.TARGET.aldr,FEAT.maacs.TARGET.aldr,FINISHED,0d:00h:11m:02s,0d:00h:12m:08s,2022-06-03 19:13:00,2022-06-03 19:11:54,2022-06-03 19:24:02,0
dude_FEAT.ecfp.TARGET.thrb,FEAT.ecfp.TARGET.thrb,FINISHED,0d:00h:13m:02s,0d:01h:56m:20s,2022-06-03 20:55:18,2022-06-03 19:12:00,2022-06-03 21:08:20,0
dude_FEAT.ecfp.TARGET.comt,FEAT.ecfp.TARGET.comt,FINISHED,0d:00h:08m:01s,0d:00h:27m:09s,2022-06-03 19:31:03,2022-06-03 19:11:55,2022-06-03 19:39:04,0
dude_FEAT.rdkit.TARGET.hs90a,FEAT.rdkit.TARGET.hs90a,FINISHED,0d:00h:07m:02s,0d:01h:04m:14s,2022-06-03 20:09:09,2022-06-03 19:11:57,2022-06-03 20:16:11,0
dude_FEAT.rdkit.TARGET.cdk2,FEAT.rdkit.TARGET.cdk2,FINISHED,0d:00h:34m:05s,0d:00h:52m:13s,2022-06-03 19:30:03,2022-06-03 19:11:55,2022-06-03 20:04:08,0
dude_FEAT.smiles_to_seq.TARGET.inha,FEAT.smiles_to_seq.TARGET.inha,FINISHED,0d:00h:04m:01s,0d:01h:01m:13s,2022-06-03 20:09:09,2022-06-03 19:11:57,2022-06-03 20:13:10,0
dude_FEAT.rdkit.TARGET.pgh1,FEAT.rdkit.TARGET.pgh1,FINISHED,0d:00h:12m:03s,0d:01h:26m:17s,2022-06-03 20:26:12,2022-06-03 19:11:58,2022-06-03 20:38:15,0
dude_FEAT.ecfp.TARGET.aces,FEAT.ecfp.TARGET.aces,FINISHED,0d:00h:31m:05s,0d:00h:32m:11s,2022-06-03 19:13:00,2022-06-03 19:11:54,2022-06-03 19:44:05,0
dude_FEAT.maacs.TARGET.prgr,FEAT.maacs.TARGET.prgr,FINISHED,0d:00h:16m:03s,0d:01h:43m:19s,2022-06-03 20:39:15,2022-06-03 19:11:59,2022-06-03 20:55:18,0
dude_FEAT.maacs.TARGET.esr1,FEAT.maacs.TARGET.esr1,FINISHED,0d:00h:21m:03s,0d:00h:52m:13s,2022-06-03 19:43:05,2022-06-03 19:11:55,2022-06-03 20:04:08,0
dude_FEAT.maacs.TARGET.hs90a,FEAT.maacs.TARGET.hs90a,FINISHED,0d:00h:07m:02s,0d:01h:04m:14s,2022-06-03 20:09:09,2022-06-03 19:11:57,2022-06-03 20:16:11,0
dude_FEAT.mordred.TARGET.gcr,FEAT.mordred.TARGET.gcr,FINISHED,0d:00h:17m:03s,0d:01h:01m:14s,2022-06-03 19:56:07,2022-06-03 19:11:56,2022-06-03 20:13:10,0
dude_FEAT.smiles_to_image.TARGET.try1,FEAT.smiles_to_image.TARGET.try1,FINISHED,0d:00h:23m:04s,0d:02h:07m:22s,2022-06-03 20:56:18,2022-06-03 19:12:00,2022-06-03 21:19:22,0
dude_FEAT.smiles_to_seq.TARGET.dyr,FEAT.smiles_to_seq.TARGET.dyr,FINISHED,0d:00h:20m:03s,0d:00h:44m:12s,2022-06-03 19:36:04,2022-06-03 19:11:55,2022-06-03 19:56:07,0
dude_FEAT.smiles_to_image.TARGET.prgr,FEAT.smiles_to_image.TARGET.prgr,FINISHED,0d:00h:26m:05s,0d:01h:52m:21s,2022-06-03 20:38:15,2022-06-03 19:11:59,2022-06-03 21:04:20,0
dude_FEAT.mordred.TARGET.kith,FEAT.mordred.TARGET.kith,FINISHED,0d:00h:06m:01s,0d:01h:08m:14s,2022-06-03 20:14:10,2022-06-03 19:11:57,2022-06-03 20:20:11,0
